Visitor,Attraction,Visit Time,Start Time,End Time
Yony,Triton_Rapids,3,6,8
Suhong,Iguazú,3,6,8
Hamza,Iguazú,3,6,8
Haizhu,Triton_Rapids,3,6,8
Resurreccion,Carrousel,2,6,8
Mounina,Carrousel,2,6,8
Eirene,Iguazú,3,6,8
Jinsheng,Iguazú,3,6,8
Idalina,Iguazú,3,6,8
Ubalda,Triton_Rapids,3,6,8
Haiyun,Iguazú,3,6,8
Zeltia,Carrousel,3,6,8
Malva,Carrousel,3,6,8
Rut,Iguazú,3,6,8
Cristine,Triton_Rapids,3,6,8
Shuangjun,Iguazú,3,6,8
Maroine,Carrousel,3,6,8
Maroan,Carrousel,3,6,8
Yaling,Triton_Rapids,3,6,8
Shafqat,Triton_Rapids,3,6,8
Bandiougou,Iguazú,3,6,8
Aderita,Carrousel,3,6,8
Zhifeng,Triton_Rapids,3,6,8
Endurance,Triton_Rapids,3,6,8
Ghalem,Iguazú,3,6,8
Hadria,Iguazú,3,6,8
Abran,Carrousel,3,6,8
Sintia,Iguazú,3,6,8
Olimpio,Carrousel,3,6,8
Harrison,Triton_Rapids,3,6,8
Clarita,Carrousel,3,6,8
Senda,Triton_Rapids,3,6,8
Yang,Iguazú,3,6,8
Auicha,Carrousel,3,6,8
Adair,Triton_Rapids,3,6,8
Zhiwen,Carrousel,3,6,8
Graciosa,Triton_Rapids,3,6,8
Arfa,Carrousel,3,6,8
Wei,Carrousel,3,6,8
Meenakshi,Carrousel,3,6,8
Geovanna,Carrousel,3,6,8
Herlan,Iguazú,3,6,8
Rufino,Iguazú,3,6,8
Anna,Iguazú,3,6,8
Maghnia,Iguazú,3,6,8
Martiniana,Iguazú,3,6,8
Evan,Iguazú,3,6,8
Shehroz,Iguazú,3,6,8
Abdelkamal,Iguazú,3,6,8
Mao,Carrousel,3,6,8
Pawel,Iguazú,3,6,8
Eladi,Iguazú,3,6,8
Chomicha,Iguazú,3,6,8
Abdeloihed,Tower_of_Power,3,3,9
Cherry,Tower_of_Power,3,3,9
Xinwei,Tower_of_Power,3,3,9
Majed,Tower_of_Power,3,3,9
Huixia,Tower_of_Power,3,3,9
Hui,Tower_of_Power,3,3,9
Toni,Tower_of_Power,3,3,9
Aran,Tower_of_Power,3,3,9
Ute,Tower_of_Power,3,3,9
Lazreg,Tower_of_Power,3,3,9
Lovepreet,Tower_of_Power,3,3,9
Aia,Tower_of_Power,3,3,9
Setou,Tower_of_Power,3,3,9
Madelaine,Splash,3,6,10
Krishan,Splash,3,6,10
Rimantas,Black_Hole,2,6,10
Justin,Splash,3,6,10
Castro,Black_Hole,2,6,10
Erol,Black_Hole,2,6,10
Lucinio,Black_Hole,2,6,10
Miria,Black_Hole,2,6,10
Raihan,Black_Hole,3,6,10
Verisima,Black_Hole,3,6,10
Weimin,Black_Hole,3,6,10
Muhamadou,Splash,3,6,10
Yixuan,Black_Hole,3,6,10
Zoraima,Splash,3,6,10
Gegham,Black_Hole,3,6,10
Ibai,Black_Hole,3,6,10
Yare,Black_Hole,3,6,10
Marysol,Splash,3,6,10
Xue,Black_Hole,3,6,10
Konstantine,Splash,3,6,10
Radwa,Splash,3,6,10
Kathleen,Splash,3,6,10
Yacqueline,Black_Hole,3,6,10
Hunaida,Black_Hole,3,6,10
Narel,Splash,3,6,10
Xabel,Splash,3,6,10
Busra,Splash,3,6,10
Yasmin,Black_Hole,3,6,10
Mengying,Black_Hole,3,6,10
Gabi,Splash,3,6,10
Antal,Black_Hole,3,6,10
Evelinda,Splash,3,6,10
Jordina,Splash,3,6,10
Taslima,Splash,3,6,10
Milesio,Splash,3,6,10
Rhodora,Black_Hole,3,6,10
Antonino,Black_Hole,3,6,10
Yasine,Black_Hole,3,6,10
Maiol,Splash,3,6,10
Petrus,Splash,3,6,10
Juliano,Black_Hole,3,6,10
Nikol,Black_Hole,3,6,10
Fousseny,Black_Hole,3,6,10
Dmitry,Black_Hole,3,6,10
Bogomil,Splash,3,6,10
Grazia,Splash,3,6,10
Jianfang,Black_Hole,3,6,10
Irsa,Black_Hole,3,6,10
Aitzol,Black_Hole,3,6,10
Romeo,Black_Hole,3,6,10
Violante,Black_Hole,3,6,10
Osniel,Black_Hole,3,6,10
Inka,Black_Hole,3,6,10
Muskilda,Splash,3,6,10
Jounaida,Splash,3,6,10
Gentzane,Black_Hole,3,6,10
Theodor,Splash,3,6,10
Yian,Black_Hole,3,6,10
Dongdong,Black_Hole,3,6,10
Mamdouh,Splash,3,6,10
Jannett,Black_Hole,3,6,10
Kadijatu,Splash,3,6,10
Placer,Splash,3,6,10
Valquiria,Splash,3,6,10
Guolin,Splash,3,6,10
Lot,Black_Hole,3,6,10
Akos,Black_Hole,3,6,10
Cuifen,Black_Hole,3,6,10
Suhua,Splash,3,6,10
Daylen,Splash,3,6,10
Guihua,Splash,3,6,10
Nallely,Black_Hole,3,6,10
Gwendolyne,Splash,3,6,10
Geronima,Splash,3,6,10
Xiaolu,Splash,3,6,10
Illare,Splash,3,6,10
Aiying,Splash,3,6,10
Lothar,Splash,3,6,10
Mariamou,Iguazú,4,8,10
Baltasar,Iguazú,4,8,10
Rosalyn,Iguazú,4,8,10
Fredeswinda,Iguazú,3,8,10
Rusi,Iguazú,3,8,10
Corine,Iguazú,3,8,10
Olenka,Iguazú,3,8,10
